Stkcd,Mom,R_M12,R_M3,R_M6,R_M9,R_t12,R_t6
2175,-73.62640569,-76.73996674365158,-46.56385674202622,-52.96298297172353,-64.35924285062255,,-46.53466246675361
2176,16.39030612,11.67952487249526,-13.818931105451481,-13.971180258982349,-32.976916096654676,17.515683992395626,-14.712290165310314
2177,-26.40827828,-33.626595894739445,-23.52935791324152,-24.44879492176578,-36.63854521071774,-24.412102826194353,-16.566762831531722
2178,-30.27146251,-41.35836969616921,-18.36736598270963,-53.92366226368912,-49.2868063101929,-25.207776113295086,-44.24909909953437
2179,25.16841803,25.409492408066978,-9.664637167489033,-0.672388189517803,5.148510240145754,40.53284134871953,8.144133690482924
2180,30.56017956,13.815314288434145,0.5124482720509693,0.5492630056746162,-3.241735640738752,27.44788599709829,6.096308998967315
2181,-1.293966527,-24.029618158983503,-6.164431074037777,-15.778728070913914,-25.000038464944712,1.3282579583596466,11.018645952150584
2182,-22.95967613,-32.81821821559652,-17.127542407908493,-34.17911823077859,-43.77045442674504,-9.230705216432943,-23.37661172639065
2183,-11.35568527,-22.943181449317716,-9.646690416659832,-5.673727510608227,-20.927436323213048,-6.617114784370592,1.864183902410788
2184,-6.263925422000001,-14.171125729508828,-36.85732420767109,-1.0210190648068496,-17.130746865183276,-4.905408493592034,3.3311011384946414
2185,-15.60784671,-21.831936800247785,-26.406074927276112,-33.57550427058479,-32.54627030542356,-0.7876562796099051,-25.939521379639363
2186,-19.60482226,-27.897343661224,-5.557792324406897,-17.041020907921155,-23.91459588045919,-17.544052672279786,-10.696532550356872
2187,-21.86150352,-31.79439105000484,-12.766911172849605,-16.451527609553672,-28.52743424727632,-21.420411702720198,-4.937878276085783
2188,-83.30739192,-86.34240853216049,-45.91677323368965,-77.78480715266154,-85.13970847173158,-83.58208547408191,-81.20070577490587
2189,,,-22.061926391502446,,,,
2190,-23.35830438,-36.23142678147144,-28.643066052956556,-21.025963187131367,-38.96437203251856,-18.108961359303343,-10.305783579595827
2191,-10.57690098,-20.192298548218265,-12.426792142595787,-19.243254536291964,-27.965322776124435,-9.805984443229589,-7.9207710514937375
2192,25.03884244,-5.568665565618991,-16.895189113059207,-26.80354569000973,-44.163095669214144,42.710957161918394,-15.964458235157794
2193,8.503355254,0.558848085827468,-11.218231907396682,-10.193471571987356,-11.484157006411257,9.318323955497744,-0.9317169820453721
2194,-43.38979619,-53.44631584178475,-57.3499567647528,-60.07753008776926,-72.73328367462202,-44.3333184520672,-58.52646891139681
2195,-16.92316375,-21.723841808307355,-2.325454674292226,-4.165264934352663,-21.50430694587555,-0.8348359476051836,-1.0000804640434957
2196,-29.57123629,-35.6955102929881,-19.496162740698747,-21.474302579031196,-41.712871884690365,-20.258863433560254,-18.024322866854728
2197,-25.15934625,-34.30899037858055,-19.8950832978564,-33.514888779870006,-37.446588696251496,-19.6099117797906,-22.50620961392632
2199,-43.68929431,-38.70545898778892,-31.77231995821545,-38.30617592344818,-46.31516210710678,-40.65482299750565,-44.15915039004492
2200,-49.07292707,-58.40088252631112,-28.840438298166625,-42.14341115009933,-60.549434532044046,-52.0980461259293,-33.155859530161635
2201,-10.07439605,-28.84420765736084,-30.824725324741863,-38.944533360466735,-38.32729529596528,-8.13353173645246,-16.288376042479502
2202,37.44937248,7.643063710018039,-30.242849874962076,-32.94427204045002,-3.2159402932054215,39.98297676347447,2.151999016028383
2203,3.630035623,0.8898502209712111,-5.9453186102176225,4.545398003891643,-6.053707712897005,11.43306641521067,8.21731620429167
2204,2.702544742,-1.2287032654714092,-2.898644223900648,-6.728742224507665,-1.4707765995536692,3.9742076511669167,2.20034347892224
2205,-49.16180882,-56.48688043214123,-30.782593974866657,-32.58045071598812,-52.04818384732973,-51.42756532203185,-27.077879833477468
2206,-25.70664686,-32.83984886571357,-2.156831979275342,-15.85163678223125,-26.83288866860529,-21.36754356673175,-9.359732041261326
2207,-18.6018329,-40.63973545582552,-35.686786004441984,-44.57965464501561,-45.48418772977417,-23.325856924313804,-10.430305047594958
2208,0.85035064,-16.294208968834422,-40.055552560851005,18.05254033008969,-8.091942179285226,8.172792048874001,30.260595319984002
2209,-35.20187717,-45.79429671142184,-20.64845427640412,-27.83353667345665,-49.28165687617122,-31.299604615217447,-28.524375802526368
2211,-32.04345729,-25.99749959798976,2.5126436016348785,-14.285685754215715,-28.754307977708358,-28.132898039571508,-30.61722185592007
2212,,,-23.928307596620172,,,,
2213,-41.90201805,-36.169548267762345,3.0102356360843574,-17.080320732177757,-34.13136781764623,-42.39968536228898,-44.74247831183432
2214,-27.36724881,-36.58499863433272,-22.76038050000541,-31.008342453736038,-36.65815909878456,-20.635427535913863,-24.67077979586251
2215,-6.9739362620000005,-16.060629142238348,-9.653105510292203,-2.5889697702745185,-14.235908354810533,4.3767319305904495,13.237390285268646
2216,0.464440935,-19.04404559913316,-9.122314545274255,-13.946750493491571,-18.284745896671666,1.2863405262240946,-2.5901610708687683
2217,0.202475011,-16.49797089198497,-13.97293393084018,-17.50004579035378,-26.66670468533669,13.402147043755438,-4.162668858109696
2218,-34.56792128,-36.838414412821095,-23.308290165414704,-41.71428685746788,-39.04378764681496,-29.734453626329852,-36.60002196243786
2220,-3.276401239,-32.29348086764555,-20.71092540695,-20.710950572485046,-30.13624124891521,-4.073887311274005,11.716345052168208
2221,4.032875205,-10.081369007324945,-14.768647975368733,-19.655032943844105,-12.095722129259933,1.5618863526932982,-1.9863331626278848
2222,8.00860465,-8.065775936940112,-20.68306174733172,-28.036107937034263,-21.064906933680685,4.992032330839957,-22.82009435941201
2223,-4.180745925,-17.694231146250704,-20.675598795880227,-0.5611837012395315,-5.019405443481528,1.3852029059557402,10.145602926710318
2224,-37.41716341,-45.94294840628522,-23.56281411772198,-30.871818841215482,-50.45143832654241,-33.714762799734466,-25.0626916709666
2225,-20.18346941,-9.54129193767197,9.07076406966072,-4.2718547980496435,-26.30789586247427,-16.825987051493385,-21.338132767462746
2227,-13.28940168,-31.21300261329164,-30.177758170941786,-31.1752409858971,-45.538647509893046,-8.466471486794982,-9.771472651164618
2228,-10.30055139,3.4048067627732603,12.323356117673946,12.58570929608982,2.963008431751213,-6.4877866267013395,-4.783647719399776
2229,9.399778694,-20.12645577719684,-24.18783497310305,-4.831511389925679,-22.210133322448073,15.592243766996749,23.89056102994241
2230,36.36398244,20.773079231893217,-20.781622556181755,-18.517900447215627,-10.179910265956536,82.45882669049611,-17.386474233638587
2231,-37.33709438,-45.810121825528896,-34.01362618577225,-47.09093871262583,-52.13817612126449,-38.818194816348,-37.33702664239833
2232,-29.02968371,-35.35335180286421,-24.194457707603807,-25.699146053043513,-35.61809724147514,-39.266442132117106,-19.79567946619885
2233,-3.920201516,-3.4984112009847634,4.1157056335991316,-1.3917646368814762,-11.297251303173685,-2.396375912377036,-4.234977428840692
2234,6.913075785,-6.9132439151527905,6.238517167787361,1.5789561965187766,-16.389938329647748,22.58054556229812,4.641922044914226
2235,2.622960603,-16.76231140930542,-3.835236477033344,-1.0233715459531334,-15.162902803563016,8.775001844810548,16.900127796865494
2236,7.198776702000001,-0.3161791415347004,-11.249457649210825,-1.5249856637254309,-5.53442172436549,31.35527063983914,0.4602999042053968
2237,8.675012223,-12.96468223614614,-12.042383092616827,-14.030074922114775,-20.470287493504685,14.688217998972931,7.547289192356852
2238,-33.10918162,-41.32879227023019,-23.107137416296638,-30.597704548723183,-35.71018960505069,-31.40854944985633,-24.045734890281192
2240,24.08489697,10.638064855700069,-21.212183874622813,-12.280796454134126,-21.402784376051887,31.232931545500325,4.291792589457044
2241,-40.97107844,-46.72232529861935,-23.45814305147875,-40.795865556130096,-49.24934916665337,-33.05423754086344,-39.879763915542966
2242,-8.073802763,-2.7988937135510095,2.42358210739102,8.760923413562116,-1.0892353317030756,-1.5147766643527127,0.12110234230404693
2243,-31.02389022,-41.12868337619179,-24.49781894186473,-28.75013167592211,-42.72776460485178,-26.864147969672945,-18.955083152594497
2244,-19.22815203,-23.910576833039627,-28.749785787321137,-33.76871290609381,-22.68157556011921,-14.745314472562256,-23.53748928083449
2245,-12.38088269,-27.9675350908284,-30.4300982806754,-36.611406513591476,-28.757362370992457,-6.581022843236994,-24.587367337953573
2246,-37.40561395,-41.18049358909217,-27.67930710151405,-30.9427504926971,-47.61612377855262,-33.06938785590243,-26.392228197924556
2247,-12.80477835,-37.49994743814376,-36.2859477955115,-39.66152343990614,-44.631959603949745,-14.641545691456525,-17.697813904835012
2248,,,-7.355965009367792,8.751319348243559,38.89700126101208,,95.07558008479843
2249,-22.64432613,-33.09391733867023,-31.212255934843746,-36.8376145362753,-48.50971013562383,-18.44739404898722,-26.551211676729704
2250,-31.21823297,-37.906296871114506,-16.318711104345716,-16.949087280938436,-31.57478898902689,-28.25827841015597,-9.620665116119687
2251,6.3761368570000005,-8.151758529351582,-22.161479165475427,-36.9529769931652,-15.453222259901569,3.616420738908888,-13.403433907448491
2253,-29.01690519,-39.16337072900611,-21.119541471835348,-28.67230955256278,-42.493974808563536,-27.07218134229971,-22.2103915437568
2254,-10.98740093,-13.790318665045199,-4.530149670447937,-2.2335977951115966,-12.258969919441807,-8.933257184356638,6.915456885153094
2255,-33.30017482,-48.50893556030545,-24.04687179071664,-22.455029240472168,-31.39066566567227,,-7.9559914787474595
2258,65.48518967,54.39966778470377,-2.6646439076290496,19.506195093366948,56.63431133072081,76.9655592185308,48.21433926779497
2261,-53.03147832,-60.62215504533857,-34.87094405649539,-40.42451474166747,-54.65936811425147,-52.13400380724069,-32.26588202692182
2262,30.59341812,32.64843614947244,36.71463753548922,40.74133686909958,41.6351768903769,49.34833067864742,41.94529289316058
2264,,,-15.640224585363624,-11.305231915431627,-20.018502761681745,,22.71347410073385
2265,-31.32134638,-37.7378556303246,-29.14599902886251,-23.97074186985081,-38.737206557978936,-30.908106921074424,-7.472487119369231
2266,-20.53390211,-22.997986868990296,-11.971809986772795,-13.394885171425939,-20.88604605156285,-20.370758206499453,-11.643820756320931
2267,-4.2973975489999985,-15.993978215562244,4.449769195465758,-13.989822535937268,-12.327769333568828,-0.6817532286446769,0.36411830211882107
